"""arc_length""","""U:x"""
0,0
0.01,-0.00010931
0.02,-0.00021171
0.03,-0.0002952
0.04,-0.0003696
0.05,-0.00043564
0.06,-0.00049193
0.07,-0.00054509
0.08,-0.00058635
0.09,-0.00062561
0.1,-0.00065719
0.11,-0.00068591
0.12,-0.00070992
0.13,-0.0007308
0.14,-0.00074913
0.15,-0.00076489
0.16,-0.00077958
0.17,-0.00079199
0.18,-0.000804
0.19,-0.00081347
0.2,-0.00082273
0.21,-0.0008302
0.22,-0.00083748
0.23,-0.00084386
0.24,-0.00085008
0.25,-0.00085586
0.26,-0.00086142
0.27,-0.0008665
0.28,-0.00087122
0.29,-0.00087526
0.3,-0.00087893
0.31,-0.000882
0.32,-0.00088481
0.33,-0.00088719
0.34,-0.00088935
0.35,-0.00089114
0.36,-0.00089264
0.37,-0.00089359
0.38,-0.00089408
0.39,-0.00089348
0.4,-0.00089232
0.41,-0.00088935
0.42,-0.00088597
0.43,-0.00088035
0.44,-0.00087459
0.45,-0.00086627
0.46,-0.00085796
0.47,-0.00084726
0.48,-0.00083638
0.49,-0.00082383
0.5,-0.00081084
0.51,-0.00079675
0.52,-0.00078204
0.53,-0.00076675
0.54,-0.00075077
0.55,-0.0007345
0.56,-0.00071742
0.57,-0.00070029
0.58,-0.00068229
0.59,-0.00066429
0.6,-0.00064582
0.61,-0.00062724
0.62,-0.0006082
0.63,-0.00058881
0.64,-0.00056901
0.65,-0.00054824
0.66,-0.00052747
0.67,-0.00050524
0.68,-0.000483
0.69,-0.00045985
0.7,-0.00043627
0.71,-0.00041218
0.72,-0.00038716
0.73,-0.00036214
0.74,-0.00033578
0.75,-0.00030942
0.76,-0.00028256
0.77,-0.00025541
0.78,-0.00022812
0.79,-0.00020036
0.8,-0.0001726
0.81,-0.00014511
0.82,-0.00011768
0.83,-0.000090705
0.84,-0.000064503
0.85,-0.0000383
0.86,-0.000013064
0.87,0.000012076
0.88,0.000036605
0.89,0.000060316
0.9,0.000084028
0.91,0.00010581
0.92,0.00012743
0.93,0.00014805
0.94,0.00016719
0.95,0.00018632
0.96,0.00020342
0.97,0.00022016
0.98,0.00023634
0.99,0.0002511
1,0.00026586
1.01,0.00027923
1.02,0.00029196
1.03,0.00030457
1.04,0.00031543
1.05,0.0003263
1.06,0.00033661
1.07,0.0003462
1.08,0.00035578
1.09,0.00036435
1.1,0.0003726
1.11,0.00038078
1.12,0.00038809
1.13,0.0003954
1.14,0.00040264
1.15,0.00040975
1.16,0.00041687
1.17,0.00042402
1.18,0.00043119
1.19,0.00043836
1.2,0.00044571
1.21,0.00045309
1.22,0.00046053
1.23,0.00046847
1.24,0.00047642
1.25,0.00048461
1.26,0.00049337
1.27,0.00050213
1.28,0.00051125
1.29,0.00052079
1.3,0.00053033
1.31,0.00054028
1.32,0.0005505
1.33,0.00056071
1.34,0.00057092
1.35,0.00058112
1.36,0.00059132
1.37,0.00060101
1.38,0.00061058
1.39,0.00062015
1.4,0.00062905
1.41,0.00063787
1.42,0.00064668
1.43,0.00065403
1.44,0.00066127
1.45,0.00066852
1.46,0.00067384
1.47,0.00067905
1.48,0.00068427
1.49,0.00068763
1.5,0.00069086
1.51,0.00069409
1.52,0.00069539
1.53,0.00069647
1.54,0.00069755
1.55,0.00069724
1.56,0.00069666
1.57,0.00069608
1.58,0.0006946
1.59,0.0006928
1.6,0.00069101
1.61,0.0006889
1.62,0.00068661
1.63,0.00068432
1.64,0.0006822
1.65,0.00068026
1.66,0.00067832
1.67,0.00067649
1.68,0.0006749
1.69,0.00067331
1.7,0.00067167
1.71,0.0006696
1.72,0.00066753
1.73,0.00066547
1.74,0.00066175
1.75,0.0006578
1.76,0.00065386
1.77,0.00064859
1.78,0.00064253
1.79,0.00063647
1.8,0.00062961
1.81,0.0006212
1.82,0.00061279
1.83,0.00060432
1.84,0.00059251
1.85,0.0005807
1.86,0.0005689
1.87,0.00055439
1.88,0.00053858
1.89,0.00052277
1.9,0.00050412
1.91,0.00047886
1.92,0.0004536
1.93,0.00042834
1.94,0.00038342
1.95,0.00033626
1.96,0.00028909
1.97,0.00022848
1.98,0.00015232
1.99,0.000076158
2,0
